Label,Styrene Oxide,Nucleophile,Solvent,Lewis Acid,Temperature,Time,Conversion,SN2,SN1
AG-199-SO-Cy-cr-RT-LiClO4-2,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.5 eq.,RT,24 hrs,100,88,12
AG-201-SO-Cy-cr-RT-LiBR-1,1 eq.,Cy: 7 eq.,ACN,LiBr: 0.5 eq.,RT,24 hrs,99,88,12
,,,,,,,,,
AG-BK2-4-SO-Cy-cr-RT-PbCl2-1,1 eq.,Cy: 7 eq.,ACN,PbCl2: 0.5 eq,RT,24 hrs,69,80,20
,,,,,,,,,
AG-198-SO-Cy-CR-RT-Al(OEt)3-EtOH-1,1 eq.,Cy: 7 eq.,EtOH,Al(OEt)3: 0.5 eq.,RT,24 hrs,88,57,43
AG-BK2-1-SO-Cy-cr-RT-NoLA-EtOH-1,1 eq.,Cy: 7 eq.,EtOH,No LA,RT,24 hrs,10,50,50
,,,,,,,,,
AG-197-SO-Cy-Cr-RT-LiBF4-1,1 eq.,Cy: 7 eq.,ACN,LiBF4: 0.5 eq.,RT,24 hrs,95,88,12
AG-200-SO-Cy-cr-RT-LiOTf-2,1 eq.,Cy: 7 eq.,ACN,LiOTf: 0.5 eq.,RT,24 hrs,100,84,16
AG-199-SO-Cy-cr-RT-LiClO4-2,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.5 eq.,RT,24 hrs,100,88,12
AG-201-SO-Cy-cr-RT-LiBR-1,1 eq.,Cy: 7 eq.,ACN,LiBr: 0.5 eq.,RT,24 hrs,99,88,12
,,,,,,,,,
AG-BK2-6-SO-Cy-cr-RT-SnCl4-DCM-1,1 eq.,Cy: 7 eq.,DCM,SnCl4: 0.5 eq.,RT,24 hrs,93,39,2
AG-BK2-7-SO-Cy-cr-RT-SnCl4-EtOH-1,1 eq.,Cy: 7 eq.,EtOH,SnCl4: 0.5 eq.,RT,24 hrs,95,67,33
,,,,,,,,,
AG-BK2-8-SO-Cy-cr-RT-Sn(OAc)4-1,1 eq.,Cy: 7 eq.,ACN,Sn(OAc)4: 0.5 eq.,RT,24 hrs,65,56,44
AG-BK2-8-SO-Cy-cr-RT-Sn(tBuO)4-1,1 eq.,Cy: 7 eq.,ACN,Sn(tBuO)4: 0.5 eq.,RT,24 hrs,92,58,42
AG-BK2-11-SO-Cy-cr-RT-SnF4-1,1 eq.,Cy: 7 eq.,ACN,SnF4: 0.5 eq.,RT,24 hrs,95,74,26
AG-161-SO-Cy-7eq-Cr-RT-SnCl4-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,SnCl4: 0.5 eq,RT,24 hrs,100,50,50
AG-173-SO-Cy-7eq-Cr-RT-Sn(OTf)2-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Sn(OTf)2: 0.5 eq,RT,24 hrs,95,79,21
,,,,,,,,,
,,,,,,,,,
Flow,,,,,,,,,
,,,,,,,,,
AG-BK2-85-F-LiClO4-50-1,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.1 eq.,50,15 min,87,75,15
AG-BK2-81-F-LiClO4-75-1,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.1 eq.,75,15 min,100,80,20
AG-BK2-79-F-liClO4-100C-1,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.1 eq.,100,15 min,100,85,15
AG-BK2-82-F-LiClO4-150-1,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.1 eq.,150,15 min,100,85,15
,,,,,,,,,
AG-BK2-84-F-liClO4-7min-75C-1,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.1 eq.,75,7 min,96,77,23
,,,,,,,,,
AG-BK2-85-F-LiClO4-1-cy-75-1,1 eq.,Cy: 1 eq.,ACN,LiClO4: 0.1 eq.,75,7 min,,messy,
AG-BK2-85-F-liClO4-7min-2eqcy-2,1 eq.,Cy: 2 eq.,ACN,LiClO4: 0.1 eq.,75,7 min,100,78,22
AG-BK2-85-F-LiClO4-5cy-75-1,1 eq.,Cy: 5 eq.,ACN,LiClO4: 0.1 eq.,75,7 min,100,74,26
AG-BK2-85-F-liClO4-7min-7eqcy-2,1 eq.,Cy: 7 eq.,ACN,LiClO4: 0.1 eq.,75,7 min,95,79,21
,,,,,,,,,
AG-BK2-86-F-AlOTf3-7min-75-1,1 eq.,Cy: 7 eq.,ACN,Al(OTf)3: 0.1 eq.,75,7 min,100,77,23
AG-BK2-86-F-CuCl2-7min-75-1,1 eq.,Cy: 7 eq.,ACN,CuCl2: 0.1 eq.,75,7 min,100,79,21
AG-BK2-86-F-MgOTf2-7min-75-1,1 eq.,Cy: 7 eq.,ACN,Mg(OTf)2: 0.1 eq.,75,7 min,100,71,29
,,,,,,,,,
AG-BK2-86-F-CuF2,1 eq.,Cy: 7 eq.,ACN,CuF2: 0.1 eq.,75,7 min,83,82,18
AG-BK2-86-F-MgBr2,1 eq.,Cy: 7 eq.,ACN,MgBr2: 0.1 eq.,75,7 min,97,65,35
AG-BK2-86-F-NiCl2,1 eq.,Cy: 7 eq.,ACN,NiCl2: 0.1 eq.,75,7 min,47,84,16
AG-BK2-86-F-SnF4,1 eq.,Cy: 7 eq.,ACN,SnF4: 0.1 eq.,75,7 min,85,81,19
,,,,,,,,,
AG-BK2-89-F-AlOEt3-2eq,1 eq.,Cy: 2 eq.,ACN,Al(OEt)3: 0.1 eq.,75,7 min,100,76,24
AG-BK2-89-F-InCl3-2eq,1 eq.,Cy: 2 eq.,ACN,InCl3: 0.1 eq.,75,7 min,100,75,25
AG-BK2-89-F-ZnBr2-2eq,1 eq.,Cy: 2 eq.,ACN,ZnBr2: 0.1 eq.,75,7 min,100,79,21
AG-BK2-89-F-LiBr-2eq,1 eq.,Cy: 2 eq.,ACN,LiBr: 0.1 eq.,75,7 min,100,81,19
AG-BK2-89-F-ZnOTf2-2eq,1 eq.,Cy: 2 eq.,ACN,Zn(OTf)2: 0.1 eq.,75,7 min,100,72,28
,,,,,,,,,
AG-BK2-94-F-BF3-1,1 eq.,Cy: 2 eq.,ACN,BF3: 0.1 eq.,75,7 min,82,84,16
AG-BK2-97-F-LiBF4-1,1 eq.,Cy: 2 eq.,ACN,LiBF4: 0.1 eq.,75,7 min,86,77,23
,,,,,,,,,
,,,,,,,,,
ID,1 eq.,Cy: 2 eq.,ACN,LiBF4: 0.1 eq.,75,3 min,42,82,18
ID,1 eq.,Cy: 2 eq.,ACN,Zn(OTf)2: 0.1 eq.,100,3 min,70,62,38
ID,1 eq.,Cy: 2 eq.,ACN,InCl3: 0.1 eq.,100,7 min,45,71,29
ID,1 eq.,Cy: 2 eq.,ACN,LiBF4: 0.1 eq.,100,3 min,39,81,19
ID,1 eq.,Cy: 2 eq.,ACN,Zn(OTf)2: 0.1 eq.,75,3 min,41,68,32
ID,1 eq.,Cy: 2 eq.,ACN,Al(OTf)3: 0.1 eq.,50,7 min,55,78,22
ID,1 eq.,Cy: 2 eq.,ACN,LiOTf: 0.1 eq.,50,3 min,79,77,23
ID,1 eq.,Cy: 2 eq.,ACN,LiOTf: 0.1 eq.,75,3 min,78,80,20
ID,1 eq.,Cy: 2 eq.,ACN,Zn(OTf)2: 0.1 eq.,50,3 min,38,74,26
ID,1 eq.,Cy: 2 eq.,ACN,ZnBr2: 0.1 eq.,100,7 min,57,73,27
